Application ID,Do you own or rent?,"If you rent, does your landlord allow pets?",Does your landlord or home insurance place any breed or weight restrictions on the animals you are allowed to have?,Do you have a yard?,Do you have screens in your windows?,Are all the members of your household in agreement about adopting a dog?,Does anyone in the household have pet allergies?,"Do you live in public housing (NYCHA, projects, section 8)?","Are you at least 21 years of age and head of household? If not, you will not be approved to adopt with IOHR.",Why do you want to adopt a dog?,What energy level would work with your lifestyle?,Are your pets up to date on their vaccinations and monthly preventatives (flea/tick and heartworm)?,"Where have your current and previous animals come from? Please list the adoption agency, shelter, or breeder if applicable.",Are your current cats/dogs spayed or neutered and have your past cats/dogs been spayed or neutered?,Have you ever bred an animal,Please provide the name and phone number for your most recent or current veterinarian (even if you don't have the animals anymore). What name are the records listed under? Please note that some vets require your permission to release information to us; please call your vet now and give them permission as this will help expedite the application process!,"On a regular day, how many hours will the dog be left alone?",Where will the dog be kept?,Do you have a contingency plan to pay for unexpected emergency vet bills?,How soon do you want to adopt a pup?,"Have you ever had to give up a pet? If so, why and where did the pet go?",Have you been involved in domestic disturbances in which the police were called in your current living situation?,"If you are adopting with a partner, are you in agreement that the dog will go with one of you should you separate, and not be surrendered back to us or a shelter?","If you are a senior or have serious health conditions, do you have a contingency plan for the dog should you no longer be able to care for it? What is the plan?","Are you willing to work through unexpected hardships with your pet and hire a trainer if need be? i.e. housetraining, separation anxiety, fear, socialization, acclimation to other animals, etc"
https://ps31.petstablished.com/adoption_applications/1200914,Rent,"Yes, my landlord allows pets",No restrictions!,I don't have a yard. ,Yes,Yes,No,No,"Yes, I am 22. ","I am a long time lover of dogs! I have worked as a dog walker and dog sitter through Rover, Wag, and family friends, and whenever I spend time with dogs I gain energy. I love spending time outdoors playing with dogs and I would really love to have a special bond with a dog of my own. I have wanted to adopt for a long time, but didn't think it would be responsible with my variable schedule while in school. However, since I'm graduating, I think now is a great time to dedicate to building a great relationship with a dog! I am willing to spend time training and caring for the new addition to my family, and I think a dog would bring a lot of joy to my life, and I would bring joy to my dog's life!",Active - Short walks and dog park play,I do not currently have pets,I have never gotten an animal of my own! ,I don't have animals ,No!,"Since I haven't had an animal of my own, I don't have a vet. ",4 - 8,He will live indoors in my roomy studio! ,"Yes, my parents are able to support me financially in case of emergency, and support my decision to get a dog. ","I am uncertain, it would depend on me finding the right dog",Nope!,Nope!,"Yes, although my boyfriend David is excited about helping me take care of a dog, we've agreed that it will be primarily my responsibility and will live with me in the case of us splitting up. ","Although I'm not a senior or have serious health conditions, if something did come up, my parents could help me out and take care of my dog. ",Yes
https://ps31.petstablished.com/adoption_applications/1205292,Own,,,"Yes, a fenced yard.",Yes,Yes,NO,No,48 years old head of household,"There is not just one reason there are many, the most is a home isn't a home without a fur baby.  My daughter suffers from anxiety and depression having a fur baby for emotional support will be good for her.  My husband left me, it will be nice to have the baby to sleep next to me so I am not so alone. We do go to the beach all the time, we like to camp in our trailer and go hiking. The baby will be with use every step of the way. In our family we don't see a dog as an animal we see the baby as one of the family, one of my children.  The longest the baby will be alone during the day is four hours, and longer our neighbor would check on him.  If we go away and can't take the baby with us, then grandma will babysit. ",Active - Short walks and dog park play,My animals are up to date on their vaccinations and receive monthly preventatives,"Ziggy found on the streetsAnzel some kids giving them away at ShopRiteTaz Camden Shelter",Yes all of my animals are spayed/neutered,Never,Lanoka Oaks Veterinarian,0 - 4,"In our house, with their own bed.",Yes a savings.,"Right away, hand that dog over!",no,no,na,,Yes
https://ps31.petstablished.com/adoption_applications/1205399,Rent,"Yes, my landlord allows pets",No,I don't have a yard. ,No,Yes,No,No,Yes,"I just moved into a pet friendly building and have a job now where I am flexible and have a lot of free time to train and take care of a dog. I have always wanted a dog, I’m ready for the responsibility and I want a companion to love and take care of.","Mellow - Short, daily walks",I do not currently have pets,Breeder,I don't have animals ,No,I don’t have the number anymore ,0 - 4,In my apartment,Yes my parents help my out with any extra expenses I have,"Right away, hand that dog over!",No but I did move out and my parents kept and stayed with my previous dog,No,Yes but I have no partner,"My parents, sister or cousin would take the dog worst case senario. They all have and love dogs",Yes
https://ps31.petstablished.com/adoption_applications/1204922,Rent,"Yes, my landlord allows pets",No,I don't have a yard. ,Yes,Yes,No,No,Yes,Always wanted a dog of my own and we finally are in a good place to have one  (enough free time and space(,Energetic - Running buddy,My animals are up to date on their vaccinations and receive monthly preventatives,Aspca,Yes all of my animals are spayed/neutered,No,Animal care center- Dr. Monica Kennedy and dr. Susanne Kent-Miller-  under name Dante Ricks (cats name is sunny),0 - 4,"In a crate when alone, free to roam when supervised",Savings,"Right away, hand that dog over!",No,No,Yes,N/a,Yes
https://ps31.petstablished.com/adoption_applications/1198417,Rent,"Yes, my landlord allows pets",No,I don't have a yard. ,Yes,Yes,no,No,yes,I would like to extend my love out to a dog. I use to have one when I was a child and he sadly passed on when I was 14. I miss having that companionship and best friend through whatever may happen. ,Energetic - Running buddy,I do not currently have pets,N/A,I don't have animals ,NO,I have not had a vet in some years now. The vet that I use to go to is no longer in business. However in the event that I do get approved I would immediately find a vet as soon as I understand the needs of my dog. ,0 - 4,In the house with supervison or at daycare,"Yes, we have a savings account along with purchasing animal health insurance. ",I am thinking probably in the next few days,No,No ,Yes. ,,Yes
https://ps31.petstablished.com/adoption_applications/1204752,Rent,"Yes, my landlord allows pets",No but I would rather have a small to medium dog anyway,I don't have a yard. ,Yes,Yes,No,No,Yes,"Honestly, I never recovered after what happened to my dog as a kid. He died in my grandparents care and I never forgave myself for leaving him. He was a golden retriever, I swore to myself that I wouldn’t get over this dog until I know I can give another dog the proper love and care. I guess my dog died over 15 years ago and I think I’m ready to move on a get a new pet in my life. Also I found myself very stressed at times with ptsd and other mental issues, I found that animals were very calming to me and helped me with my anxiety and such","Mellow - Short, daily walks",I do not currently have pets,The dog I had 15 years ago was from a family friend ,I don't have animals ,Absolutely not.,I don’t have a vet. I need a little bit more research on that part. I want this dog to have the best care so I will make sure to supply that asap,4 - 8,Mainly in the apartment ,Yes I have a savings and I also have pet insurance through my job,"I am uncertain, it would depend on me finding the right dog","Yes. Unfortunately it wasn’t my proudest moment but I returned him to the shelter. I did have a cat for a few days but I was in a problematic situation and it just didn’t work since the cat actually made me more anxious since it was a kitten. Just again, need a more mellow pet was the case and I just prefer older animals ",NO,N/A the animal stays with me,N/A,Yes
https://ps31.petstablished.com/adoption_applications/1204910,Rent,"Yes, my landlord allows pets",No,"Yes, an unfenced yard.",Yes,Yes,No,No,Yes,"I really want companionship. My mom passed away in November, and it’s hard living alone without someone to take care of and take walks with!",Active - Short walks and dog park play,My animals are up to date on their vaccinations and receive monthly preventatives,It was a breeder in Ohio. Unsure of the name.,Yes all of my animals are spayed/neutered,No,"Cedarbrook animal hospital Dr. Haber, 856-629-7177",0 - 4,In a crate,"Yes, my dad will help, and I have student loans that help me pay for things. I am good at balancing my money.","I am taking my time, a few weeks is fine ",No,No,The dog would always stay with me,No,Yes
https://ps31.petstablished.com/adoption_applications/1198330,Own,I own my home and do not need approval from a landlord,No.,"Yes, a fenced yard.",Yes,Yes,No,No,Yes,"I am looking for a companion and best friend that I can run around with and go on adventures with. I plan to register my new dog as my emotional support animal. I am diagnosed with anxiety, bipolar disorder and PTSD. My previous family dog, who passed in the fall, was very helpful and comforting to me. Dogs in general make me feel very happy and I think life is better when you have a furry friend.  ",Active - Short walks and dog park play,I do not currently have pets,"Our first family dog came from Animals In Distress, DE. Our second dog we got from Pets Plus in Quakertown, PA.",I don't have animals ,NO,"Dr. Draper, Saucon Valley Animal Hospital, 6108386644, Benny Strauss",0 - 4,In the house.,Yes,"I am uncertain, it would depend on me finding the right dog",No,No,N/A,"Yes, if I am unable to care for my pup, my family will help me care for it.",Yes
https://ps31.petstablished.com/adoption_applications/1203616,Rent,"Yes, my landlord allows pets",No. ,"Yes, a fenced yard.",Yes,Yes,No,No,Yes. ,My partner and I have been looking into adopting for quite some time and also I would like to adopt to better my mental health as my therapist has thought a pet may decrease my anxiety. ,Active - Short walks and dog park play,I do not currently have pets,My parents received them from a neighborhood friend that had a litter. ,I don't have animals ,No. ,N/A,4 - 8,We will have the dog crate trained so they will sleep there at night! ,Yes. ,I am thinking probably in the next few days,No. ,No. ,Yes. ,N/A,Yes
https://ps31.petstablished.com/adoption_applications/1203467,Rent,"Yes, my landlord allows pets",No,"Yes, an unfenced yard.",Yes,Yes,No,No,Yes,"I grew up with a dog, but now that I have moved out of the family home I am missing my furry companion. I am very athletic and would love to have a pup to take on walks and spend long days at the dog park. My friends all have dogs so I know my little one would have plenty of play mates. I am finally in a home with plenty of space for a dog and am excited to take on the challenge of a pup. I also would plan on dedicating time to take puppy classes for therapy dog certification.",Active - Short walks and dog park play,My animals are up to date on their vaccinations but I do not administer monthly preventatives,I no longer have this info. ,Yes all of my animals are spayed/neutered,No,"My grandfather, Norman Bailey cell: +1-716-720-8891Home: 716-355-6330He is hard of hearing. Ask for Joanne Bailey she will be able to answer questions and lookup information.",0 - 4,In the living room/dining room.,"My mother has agreed to help me out if there were any emergency that I am not able to budget for. However, I plan to set aside a monthly amt to put into savings for pet expenses.","I am taking my time, a few weeks is fine ",No,No,I am not adopting with a partner. ,N/A,Yes
