Application ID,Do you own or rent?,"If you rent, does your landlord allow pets?",Does your landlord or home insurance place any breed or weight restrictions on the animals you are allowed to have?,Do you have a yard?,Do you have screens in your windows?,Are all the members of your household in agreement about adopting a dog?,Does anyone in the household have pet allergies?,"Do you live in public housing (NYCHA, projects, section 8)?","Are you at least 21 years of age and head of household? If not, you will not be approved to adopt with IOHR.",Why do you want to adopt a dog?,What energy level would work with your lifestyle?,Are your pets up to date on their vaccinations and monthly preventatives (flea/tick and heartworm)?,"Where have your current and previous animals come from? Please list the adoption agency, shelter, or breeder if applicable.",Are your current cats/dogs spayed or neutered and have your past cats/dogs been spayed or neutered?,Have you ever bred an animal,Please provide the name and phone number for your most recent or current veterinarian (even if you don't have the animals anymore). What name are the records listed under? Please note that some vets require your permission to release information to us; please call your vet now and give them permission as this will help expedite the application process!,"On a regular day, how many hours will the dog be left alone?",Where will the dog be kept?,Do you have a contingency plan to pay for unexpected emergency vet bills?,How soon do you want to adopt a pup?,"Have you ever had to give up a pet? If so, why and where did the pet go?",Have you been involved in domestic disturbances in which the police were called in your current living situation?,"If you are adopting with a partner, are you in agreement that the dog will go with one of you should you separate, and not be surrendered back to us or a shelter?","If you are a senior or have serious health conditions, do you have a contingency plan for the dog should you no longer be able to care for it? What is the plan?","Are you willing to work through unexpected hardships with your pet and hire a trainer if need be? i.e. housetraining, separation anxiety, fear, socialization, acclimation to other animals, etc"
https://ps31.petstablished.com/adoption_applications/1204725,Own,I own my home and do not need approval from a landlord,,"Yes, a fenced yard.",Yes,Yes,"Yes, Ella and I do have allergies to certain breeds of dogs.  ",No,yes,No family is complete without a dog.  We want to give our children the experience of growing up with a dog to love and care for.,Active - Short walks and dog park play,I do not currently have pets,We made a newbie mistake of buying her from a store in our town.,I don't have animals ,No,Animal Wellness Center 631-351-0447,0 - 4,"In our home, dog bed will likely be placed in our kitchen, easy access to food and water and close to our door to our yard.",We had a care credit card with our vet which we used for emergency surgery for Olive.  (to remove bladder stones at age 3),"I am uncertain, it would depend on me finding the right dog",No,No,Yes,N/A,Yes
https://ps31.petstablished.com/adoption_applications/1204783,Own,I own my home and do not need approval from a landlord,No,"Yes, a fenced yard.",Yes,Yes,No,No,Yes,"I’d love to get a playmate for my goldendoodle, Walter. He is about a year old and LOVES other dogs. ",Active - Short walks and dog park play,My animals are up to date on their vaccinations and receive monthly preventatives,"Charm City Puppies in Columbia, MD",Yes all of my animals are spayed/neutered,No,Light Street Animal Hospital - (410) 547-8385,0 - 4,"In a large crate if needed, but mostly with me at all times ","Yes, emergency savings account ","Right away, hand that dog over!",No ,No,Yes ,"I am 25 years old and in good health. Worst case scenario, I have a large family who would take the dog. ",Yes
https://ps31.petstablished.com/adoption_applications/1204844,Own,I own my home and do not need approval from a landlord,no,"Yes, an unfenced yard.",Yes,Yes,Husband,No,Yes,"I would like to introduce another dog into our family  Wilson is getting older and Sophie is still young.  We feel strongly that are dogs are part of our family, and we have a lot to give a pet a happy healthly life.","Mellow - Short, daily walks",My animals are up to date on their vaccinations and receive monthly preventatives,"Frederick Cty Shelter, Washington Cty. Shelter, Breeder, Biloxa, MS shelter",Yes all of my animals are spayed/neutered,NO!,"Park Circle Animal Hospital 362 Virginia Ave,   Hagerstown, MD  301 791 2180Samson, Precious, Megan, Lucy, Wilson, Josie, Sophie",0 - 4,In our home ,N/A,"I am taking my time, a few weeks is fine ",No,No,Yes,"I am a senior in good health, but in the event of serious whatever, my children who love my pets will take them into their homes and continue to love them and give them a good home.",Yes
https://ps31.petstablished.com/adoption_applications/1204909,Rent,"Yes, my landlord allows pets",Nom,I don't have a yard. ,No,Yes,No,No,Yes,"I enjoy having a 3 dog family— my firstborn dog , chocolate labradoodle succumbed to aggressive intestinal lymphoma 11/18/2018– at age 15 years",Active - Short walks and dog park play,My animals are up to date on their vaccinations and receive monthly preventatives,Zoe from a Canadian breeder — family no longer breeds— she lived ina family like home prior to coming to nyc and was and still is a social butterfly—Bonnie from Sean Casey Animal rescue in Brooklyn 5 years ago; cat Jazz from Montclair’s animal shelter bear Walnut avenue 10 years ago,Yes all of my animals are spayed/neutered,No,"Dr. Pet Daddy(Dr. Yoo), 2715 24th Ave, Astoria ny 11102718-204-2462",4 - 8,Bedroom mine on their own beds that surround mine,"Pet insured, savings, Care credit","I am taking my time, a few weeks is fine ","Never— I have had pets most of my life, no surrender— I seek out dog friendly residences only",No,Na,Yes. I am a youthful senior— see my InstagramMarleneprice8– however I have designated a proxy to tend to my affairs and I have a former dog walker for my deceased dog who agreed to assist,Yes
https://ps31.petstablished.com/adoption_applications/1204905,Own,I own my home and do not need approval from a landlord,,"Yes, an unfenced yard.",Yes,Yes,No,No,Yes a bit older but have the energy of a 21 yr old or at least 35 yr old,I’vealwa had dogs and usually two when I became interested in Golden’s They love people but also love company of other dog I hav on occasion brought one of the dogs to my office to help clients with severe anxiety ,Active - Short walks and dog park play,My animals are up to date on their vaccinations and receive monthly preventatives,First 2 Golden’s breeder last 3 Golden’s from sunshine golden retriever rescue,Yes all of my animals are spayed/neutered,No,Jeff Sachar 203 876 7471,0 - 4,Crate ,I have spent quite a bit of money on vet bill for surgery for on two rescues and for treatment for Milo Both me and husband in the medical field and do all that is necessary to treat and to make our dogs healthy nd comfortable when needed,"I am taking my time, a few weeks is fine ",No,No,Married 49 yrs doubt we r separating but since I’m filing application and I’m the more nurturing  it will be me ,I’m a senior in excellent health but I have two adult married children who grew up with dogs love dogs & will care for them,Yes
https://ps31.petstablished.com/adoption_applications/1201395,Rent,"Yes, my landlord allows pets",,I don't have a yard. ,Yes,Yes,no,No,Yes,I would like to have a companion and give a puppy a better home. ,Active - Short walks and dog park play,I do not currently have pets,Luvly Acres breeders,Yes all of my animals are spayed/neutered,no,Murray Hill Pet Hospital Dr. Dan 2126852857,0 - 4,My room/ crate ,yes,"Right away, hand that dog over!",No,No,I am adopting alone,,Yes
https://ps31.petstablished.com/adoption_applications/1201806,Rent,"Yes, my landlord allows pets","Yes, there are breed restrictions.Poodles and Australian Shepherds are NOT on the restricted breeds list.","Yes, a fenced yard.",Yes,Yes,No,No,Yes,We want to add a dog to our family,Active - Short walks and dog park play,I do not currently have pets,We do not have any pets. Our parents' pets that we grew up with came from breeders.,I don't have animals ,No and I have no plans to breed any pets.,"Since we do not have any pets, we do not have a vet. However, we plan to use Healthy Paws Veterinary Center in Westborough, MA.",4 - 8,"The dog will be crated during the day. The dog will be home alone 6-8 hours per day (Bobby is a pharmacist and work 6-8 hours shifts, I am a PA and work 8-10 hour shifts). I have all weekends and every Thursday off, so I will be home those days. Bobby has every other Tuesday off.  With our schedules, the dog will be home alone 3-4 days per week.","We are both fortunate enough to have stable, well paying jobs, so unexpected or emergency veterinary bills will not be a problem. If there was a very expensive unexpected cost, we would work with the veterinarian to set up a payment plan.","I am uncertain, it would depend on me finding the right dog",Neither of us have ever had to give up a pet.,Never.,"Yes. While we do not ever plan to separate, if we were to do so, the dog would go with me.","N/A.If for whatever reason we were no longer able to care for the dog, we would place it with our family. We would plan to let IOHR know about this change.",Yes
https://ps31.petstablished.com/adoption_applications/1199854,Rent,"Yes, my landlord allows pets",40 lbs max,I don't have a yard. ,No,Yes,No,No,Yes,I have been an animal lover my entire life and grew up with my family dog. As my family is coming together it wouldn’t be complete without a dog of my own. We have a lot of love to give and want to welcome an animal into a warm loving home. ,"Mellow - Short, daily walks",I do not currently have pets,My mother purchased our family pet from a pet store. Maddie had just been placed in the store that day and my mother felt she was rescuing her and unexpectedly brought her home that day. ,Yes all of my animals are spayed/neutered,No,"I currently do not have a pet but my family works with Dr. Bayha, DVM of South Shore Animal Hospital. tel:5168263400",4 - 8,In our home. ,We plan to get insurance for our pet. ,"I am taking my time, a few weeks is fine ",No,No,Yes,Not applicable ,Yes
https://ps31.petstablished.com/adoption_applications/1201796,Rent,"Yes, my landlord allows pets",No,I don't have a yard. ,Yes,Yes,No,No,Yes,"I’ve always had dogs growing up, I’m definitely a dog person.  When I moved out of my family home I knew I was going to miss having my dogs around. Now that my boyfriend and I have been living together for a while we both want to adopt a dog of our own!",Active - Short walks and dog park play,My animals are up to date on their vaccinations and receive monthly preventatives,"Tessa - Good Dog RescueAndy - Rescue Dogs Rock NYC",Yes all of my animals are spayed/neutered,No,N/A,8+,In a crate until they can be trusted to roam the apartment ,Yes ,"I am uncertain, it would depend on me finding the right dog",No,No,Yes ,N/A - but in general we have family who would take the dog.,Yes
https://ps31.petstablished.com/adoption_applications/1200239,Rent,"Yes, my landlord allows pets","No, no restrictions","Yes, a fenced yard.",Yes,Yes,No pet allergies,No,"Yes, my partner Brad and I are both in agreement on adopting a dog.","Brad and I are really excited to bring a dog into our blended family. His kids live with two dogs when they are at their mom's house and all of them have been asking when we will add a dog to our house. I grew up with dogs and I love the companionship, energy and love they bring to a home. We know we can provide a loving home for any dog we adopt.",Active - Short walks and dog park play,I do not currently have pets,NA,I don't have animals ,"No, never.",I do not currently have a vet,0 - 4,"The dog will live inside the house, with us. He or she will have their own crate and bed.",I have a savings account for emergencies and both of us make enough salaries to care for a pet.,"I am taking my time, a few weeks is fine ",No,No,"Yes, I will be the primary caretaker",NA,Yes
